*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Feb 20 16:13:05 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jul-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2457764.500000000, A.D. 2017-Jan-11 00:00:00.0000, -5.204016834034394E+07,  1.376059139515616E+08, -4.584458921082318E+03, -2.833494181695694E+01, -1.064808387518786E+01,  2.334653169233647E-05,  4.907312472005181E+02,  1.471175268156489E+08,  6.332235651854926E-02,
2457765.500000000, A.D. 2017-Jan-12 00:00:00.0000, -5.448009796961434E+07,  1.366646981461520E+08, -4.592274858742952E+03, -2.814358419609343E+01, -1.113876746130148E+01, -1.970668927908648E-04,  4.907511326363159E+02,  1.471234883193251E+08,  7.469189611279600E-02,
2457766.500000000, A.D. 2017-Jan-13 00:00:00.0000, -5.690315030593602E+07,  1.356812294168017E+08, -4.617053346477449E+03, -2.794425969721434E+01, -1.162616912595372E+01, -3.670278304284125E-04,  4.907743002880288E+02,  1.471304338065782E+08,  8.606982721785938E-02,
2457767.500000000, A.D. 2017-Jan-14 00:00:00.0000, -5.930863512868492E+07,  1.346557898207260E+08, -4.653934743456542E+03, -2.773691595455341E+01, -1.211031539249509E+01, -4.760085920505475E-04,  4.908007275623610E+02,  1.471383565041085E+08,  9.728629804288054E-02,
2457768.500000000, A.D. 2017-Jan-15 00:00:00.0000, -6.169585581244603E+07,  1.335886614697465E+08, -4.697426469273865E+03, -2.752146179435738E+01, -1.259117651819832E+01, -5.198613741645985E-04,  4.908303470223429E+02,  1.471472361948211E+08,  1.082026687740725E-01,
2457769.500000000, A.D. 2017-Jan-16 00:00:00.0000, -6.406410719883217E+07,  1.324801316700567E+08, -4.741929202608764E+03, -2.729779529258589E+01, -1.306866258544742E+01, -5.000429612813662E-04,  4.908630571500458E+02,  1.471570424444067E+08,  1.187217813388003E-01,
2457770.500000000, A.D. 2017-Jan-17 00:00:00.0000, -6.641267570183068E+07,  1.313304978110233E+08, -4.782155377410352E+03, -2.706582627124961E+01, -1.354263229951907E+01, -4.220174594085080E-04,  4.908987344085864E+02,  1.471677382174393E+08,  1.287870795245598E-01,
2457771.500000000, A.D. 2017-Jan-18 00:00:00.0000, -6.874084094680849E+07,  1.301400711783398E+08, -4.813399953573942E+03, -2.682548905484209E+01, -1.401290792089646E+01, -2.935394482692644E-04,  4.909372438751118E+02,  1.471792830650652E+08,  1.383743906551353E-01,
2457772.500000000, A.D. 2017-Jan-19 00:00:00.0000, -7.104787809963875E+07,  1.289091794425305E+08, -4.831676204614341E+03, -2.657674607619276E+01, -1.447929015425952E+01, -1.232998593350132E-04,  4.909784470404255E+02,  1.471916354632720E+08,  1.474812297445502E-01,
2457773.500000000, A.D. 2017-Jan-20 00:00:00.0000, -7.333306021995175E+07,  1.276381680028450E+08, -4.833757380619645E+03, -2.631958541862643E+01, -1.494156939141099E+01,  7.989216781734143E-05,  4.910222066242920E+02,  1.472047542564804E+08,  1.561172259082930E-01,
2457774.500000000, A.D. 2017-Jan-21 00:00:00.0000, -7.559566026330926E+07,  1.263274005622714E+08, -4.817169667094946E+03, -2.605401565379816E+01, -1.539953225353767E+01,  3.074374566951477E-04,  4.910683890222491E+02,  1.472185993910802E+08,  1.642974122445180E-01,
2457775.500000000, A.D. 2017-Jan-22 00:00:00.0000, -7.783495261553060E+07,  1.249772593258115E+08, -4.780173020355403E+03, -2.578006051102990E+01, -1.585296392553499E+01,  5.509253184028395E-04,  4.911168652851921E+02,  1.472331322091026E+08,  1.720387366867302E-01,
2457776.500000000, A.D. 2017-Jan-23 00:00:00.0000, -8.005021421861915E+07,  1.235881451396211E+08, -4.721753398805857E+03, -2.549775494696042E+01, -1.630164739508778E+01,  8.019156484042611E-04,  4.911675115209634E+02,  1.472483155686129E+08,  1.793594543378615E-01,
2457777.500000000, A.D. 2017-Jan-24 00:00:00.0000, -8.224072545034792E+07,  1.221604777848908E+08, -4.641637334518135E+03, -2.520714347256906E+01, -1.674536083904675E+01,  1.051660702902524E-03,  4.912202094674561E+02,  1.472641140155235E+08,  1.862808209501133E-01,
2457778.500000000, A.D. 2017-Jan-25 00:00:00.0000, -8.440577097242534E+07,  1.206946965328237E+08, -4.540328839875758E+03, -2.490828113355043E+01, -1.718387440174478E+01,  1.290884893470512E-03,  4.912748478070648E+02,  1.472804941776558E+08,  1.928304273829883E-01,
2457779.500000000, A.D. 2017-Jan-26 00:00:00.0000, -8.654464078004798E+07,  1.191912609585215E+08, -4.419158980876207E+03, -2.460123716018121E+01, -1.761694763977524E+01,  1.509728367952157E-03,  4.913313245878924E+02,  1.472974254906001E+08,  1.990464027338516E-01,
2457780.500000000, A.D. 2017-Jan-27 00:00:00.0000, -8.865663166802311E+07,  1.176506519000901E+08, -4.280329962722957E+03, -2.428610083910819E+01, -1.804432892645898E+01,  1.697942921299322E-03,  4.913895508680142E+02,  1.473148812902380E+08,  2.049815192837250E-01,
2457781.500000000, A.D. 2017-Jan-28 00:00:00.0000, -9.074104926489793E+07,  1.160733723424616E+08, -4.126929354913533E+03, -2.396298856235003E+01, -1.846575794821943E+01,  1.845391060737889E-03,  4.914494553913098E+02,  1.473328402145221E+08,  2.107060455764452E-01,
2457782.500000000, A.D. 2017-Jan-29 00:00:00.0000, -9.279721066970424E+07,  1.144599479271486E+08, -3.962888395763934E+03, -2.363205041638022E+01, -1.888097190283358E+01,  1.942831587341765E-03,  4.915109897651761E+02,  1.473512877557150E+08,  2.163082048338543E-01,
2457783.500000000, A.D. 2017-Jan-30 00:00:00.0000, -9.482444756876180E+07,  1.128109267735353E+08, -3.792863465197384E+03, -2.329347439108000E+01, -1.928971509805451E+01,  1.982888088237544E-03,  4.915741333266664E+02,  1.473702177192210E+08,  2.218914830115402E-01,
2457784.500000000, A.D. 2017-Jan-31 00:00:00.0000, -9.682210955312024E+07,  1.111268783690490E+08, -3.622032172888517E+03, -2.294748661301451E+01, -1.969175060638651E+01,  1.961023828288333E-03,  4.916388967689635E+02,  1.473896333107758E+08,  2.275687946850025E-01,
2457785.500000000, A.D. 2017-Feb-01 00:00:00.0000, -9.878956725691140E+07,  1.094083914358903E+08, -3.455812049180269E+03, -2.259434696029964E+01, -2.008687194097982E+01,  1.876328418963347E-03,  4.917053237295233E+02,  1.474095476125595E+08,  2.334543772253000E-01,
2457786.500000000, A.D. 2017-Feb-02 00:00:00.0000, -1.007262149329712E+08,  1.076560708613011E+08, -3.299524818062782E+03, -2.223434059824768E+01, -2.047491277525431E+01,  1.731974720037499E-03,  4.917734898801067E+02,  1.474299833103953E+08,  2.396548034002341E-01,
2457787.500000000, A.D. 2017-Feb-03 00:00:00.0000, -1.026314721677431E+08,  1.058705339198821E+08, -3.158037444569170E+03, -2.186776676839315E+01, -2.085575349266770E+01,  1.535299901996190E-03,  4.918434994592683E+02,  1.474509716542158E+08,  2.462603917421666E-01,
2457788.500000000, A.D. 2017-Feb-04 00:00:00.0000, -1.045047845593031E+08,  1.040524060793866E+08, -3.035411395713687E+03, -2.149492618609093E+01, -2.122932429487524E+01,  1.297543218043096E-03,  4.919154794753318E+02,  1.474725507201583E+08,  2.533376804916617E-01,
2457789.500000000, A.D. 2017-Feb-05 00:00:00.0000, -1.063456232771185E+08,  1.022023166794602E+08, -2.934587555862963E+03, -2.111610783122392E+01, -2.159560506572753E+01,  1.033288432232382E-03,  4.919895719034441E+02,  1.474947630713013E+08,  2.609230107744996E-01,
2457790.500000000, A.D. 2017-Feb-06 00:00:00.0000, -1.081534834643435E+08,  1.003208947629369E+08, -2.857131728261709E+03, -2.073157539523354E+01, -2.195462190599434E+01,  7.596144295458629E-04,  4.920659241822273E+02,  1.475176529086316E+08,  2.690171647532672E-01,
2457791.500000000, A.D. 2017-Feb-07 00:00:00.0000, -1.099278814677648E+08,  9.840876537604269E+07, -2.803067688010633E+03, -2.034155383889920E+01, -2.230643956588056E+01,  4.949091972648034E-04,  4.921446783713239E+02,  1.475412628205586E+08,  2.775816031993605E-01,
2457792.500000000, A.D. 2017-Feb-08 00:00:00.0000, -1.116683509610071E+08,  9.646654673853745E+07, -2.770828372254968E+03, -1.994621759068858E+01, -2.265114873608444E+01,  2.573253942426135E-04,  4.922259596223710E+02,  1.475656303265994E+08,  2.865377745751862E-01,
2457793.500000000, A.D. 2017-Feb-09 00:00:00.0000, -1.133744382186119E+08,  9.449484874404940E+07, -2.757352657303214E+03, -1.954568325026127E+01, -2.298884810470521E+01,  6.298950666128178E-05,  4.923098651259983E+02,  1.475907845637715E+08,  2.957714033338683E-01,
2457794.500000000, A.D. 2017-Feb-10 00:00:00.0000, -1.150456970733098E+08,  9.249427317035249E+07, -2.758337052345276E+03, -1.914001002103202E+01, -2.331962328520230E+01, -7.572688664581051E-05,  4.923964551608893E+02,  1.476167436031698E+08,  3.051428150895871E-01,
2457795.500000000, A.D. 2017-Feb-11 00:00:00.0000, -1.166816843132823E+08,  9.046541569211522E+07, -2.768618527557701E+03, -1.872920949260595E+01, -2.364352703016526E+01, -1.514410346654671E-04,  4.924857478868764E+02,  1.476435128889750E+08,  3.145021935106241E-01,
2457796.500000000, A.D. 2017-Feb-12 00:00:00.0000, -1.182819562835925E+08,  8.840886936140826E+07, -2.782629037942737E+03, -1.831326317348813E+01, -2.396056580456962E+01, -1.621448277564497E-04,  4.925777188511210E+02,  1.476710850904105E+08,  3.237063130994702E-01,
2457797.500000000, A.D. 2017-Feb-13 00:00:00.0000, -1.198460671779757E+08,  8.632522884749240E+07, -2.794842928148806E+03, -1.789214316098247E+01, -2.427069589267927E+01, -1.106714400052056E-04,  4.926723049972526E+02,  1.476994413036520E+08,  3.326323639500955E-01,
2457798.500000000, A.D. 2017-Feb-14 00:00:00.0000, -1.213735690513629E+08,  8.421509459988156E+07, -2.800146770309657E+03, -1.746583046159649E+01, -2.457382871751497E+01, -3.496973993932784E-06,  4.927694118309972E+02,  1.477285532000289E+08,  3.411856974238056E-01,
2457799.500000000, A.D. 2017-Feb-15 00:00:00.0000, -1.228640131657457E+08,  8.207907626632288E+07, -2.794092378094792E+03, -1.703432712503293E+01, -2.486984206426742E+01,  1.506902030747881E-04,  4.928689218323680E+02,  1.477583855479355E+08,  3.493008401710566E-01,
2457800.500000000, A.D. 2017-Feb-16 00:00:00.0000, -1.243169520715778E+08,  7.991779504280967E+07, -2.773031027384102E+03, -1.659766120305706E+01, -2.515859288723778E+01,  3.422542697641973E-04,  4.929707023637856E+02,  1.477888985836257E+08,  3.569373742510311E-01,
2457801.500000000, A.D. 2017-Feb-17 00:00:00.0000, -1.257319418512761E+08,  7.773188497862415E+07, -2.734154496058822E+03, -1.615588589992047E+01, -2.543992825054056E+01,  5.614824140529606E-04,  4.930746119597843E+02,  1.478200498968199E+08,  3.640732660526586E-01,
2457802.500000000, A.D. 2017-Feb-18 00:00:00.0000, -1.271085441244626E+08,  7.552199348666608E+07, -2.675480144139379E+03, -1.570907532865867E+01, -2.571369262689375E+01,  7.990142843272707E-04,  4.931805046182764E+02,  1.478517957171934E+08,  3.706980025322387E-01,
2457803.500000000, A.D. 2017-Feb-19 00:00:00.0000, -1.284463276262147E+08,  7.328878139523557E+07, -2.595815580759197E+03, -1.525731922034660E+01, -2.597973125576343E+01,  1.045903068863652E-03,  4.932882322842393E+02,  1.478840916589671E+08,  3.768071009104794E-01,
2457804.500000000, A.D. 2017-Feb-20 00:00:00.0000, -1.297448693491324E+08,  7.103292286082982E+07, -2.494729645505548E+03, -1.480071836024217E+01, -2.623789014232398E+01,  1.293429871482843E-03,  4.933976460515743E+02,  1.479168930812154E+08,  3.823987849344925E-01,
2457805.500000000, A.D. 2017-Feb-21 00:00:00.0000, -1.310037553668549E+08,  6.875510539219728E+07, -2.372545435857028E+03, -1.433938193458218E+01, -2.648801365927161E+01,  1.532800089528052E-03,  4.935085967584933E+02,  1.479501552663595E+08,  3.874731226667329E-01,
2457806.500000000, A.D. 2017-Feb-22 00:00:00.0000, -1.322225815395235E+08,  6.645603014518625E+07, -2.230360169287771E+03, -1.387342755143543E+01, -2.672994087620124E+01,  1.754846546687006E-03,  4.936209356962033E+02,  1.479838336326247E+08,  3.920336679109871E-01,
2457807.500000000, A.D. 2017-Feb-23 00:00:00.0000, -1.334009543538990E+08,  6.413641254357801E+07, -2.070085868045688E+03, -1.340298438369879E+01, -2.696350192293975E+01,  1.949866022290081E-03,  4.937345161376201E+02,  1.480178841923378E+08,  3.960914676636449E-01,
2457808.500000000, A.D. 2017-Feb-24 00:00:00.0000, -1.345384921732150E+08,  6.179698315665843E+07, -1.894493642564863E+03, -1.292819946745452E+01, -2.718851597309871E+01,  2.107721536644291E-03,  4.938491963141255E+02,  1.480522644443362E+08,  3.996709908544206E-01,
2457809.500000000, A.D. 2017-Feb-25 00:00:00.0000, -1.356348271458472E+08,  5.943848861548182E+07, -1.707233156550676E+03, -1.244924645364284E+01, -2.740479267576573E+01,  2.218331820024844E-03,  4.939648442650076E+02,  1.480869348277938E+08,  4.028169645749978E-01,
2457810.500000000, A.D. 2017-Feb-26 00:00:00.0000, -1.366896079150734E+08,  5.706169219403969E+07, -1.512790484704077E+03, -1.196633498935814E+01, -2.761213870797287E+01,  2.272609448978002E-03,  4.940813445819245E+02,  1.481218607441601E+08,  4.056003236962987E-01,
2457811.500000000, A.D. 2017-Feb-27 00:00:00.0000, -1.377025030610090E+08,  5.466737357266255E+07, -1.316347456451505E+03, -1.147971770118373E+01, -2.781037012706302E+01,  2.263776539184192E-03,  4.941986064517801E+02,  1.481570149683538E+08,  4.081208438871544E-01,
2457812.500000000, A.D. 2017-Feb-28 00:00:00.0000, -1.386732049131140E+08,  5.225632732153146E+07, -1.123519569706172E+03, -1.098969122434702E+01, -2.799932922827141E+01,  2.188801744352986E-03,  4.943165716932672E+02,  1.481923800580578E+08,  4.105041545783747E-01,
2457813.500000000, A.D. 2017-Mar-01 00:00:00.0000, -1.396014330946646E+08,  4.982935985668046E+07, -9.399789021871984E+02, -1.049658872476809E+01, -2.817890227484421E+01,  2.049551400292060E-03,  4.944352209851643E+02,  1.482279502209156E+08,  4.128922024876506E-01,
2457814.500000000, A.D. 2017-Mar-02 00:00:00.0000, -1.404869370459631E+08,  4.738728500523584E+07, -7.710049990676343E+02, -1.000076403494410E+01, -2.834903312832652E+01,  1.853249328494400E-03,  4.945545765437215E+02,  1.482637321171914E+08,  4.154285920463225E-01,
2457815.500000000, A.D. 2017-Mar-03 00:00:00.0000, -1.413294969239278E+08,  4.493091872676723E+07, -6.210342433936894E+02, -9.502570702208358E+00, -2.850972866371658E+01,  1.612044025788961E-03,  4.946747002480699E+02,  1.482997442977821E+08,  4.182423550902900E-01,
2457816.500000000, A.D. 2017-Mar-04 00:00:00.0000, -1.421289226540173E+08,  4.246107377891887E+07, -4.932822505775839E+02, -9.002341039229627E+00, -2.866105472626171E+01,  1.341794390734563E-03,  4.947956873605301E+02,  1.483360153216128E+08,  4.214342225581671E-01,
2457817.500000000, A.D. 2017-Mar-05 00:00:00.0000, -1.428850513392767E+08,  3.997855507966127E+07, -3.894928501080722E+02, -8.500369611666699E+00, -2.880312457857115E+01,  1.060421341174234E-03,  4.949176569979705E+02,  1.483725808990225E+08,  4.250680627101023E-01,
2457818.500000000, A.D. 2017-Mar-06 00:00:00.0000, -1.435977435176198E+08,  3.748415626287869E+07, -3.098340593911707E+02, -7.996903203549164E+00, -2.893608345759758E+01,  7.862103113467356E-04,  4.950407409519263E+02,  1.484094805401192E+08,  4.291678720443028E-01,
2457819.500000000, A.D. 2017-Mar-07 00:00:00.0000, -1.442668788254699E+08,  3.497865761425273E+07, -2.529330180864781E+02, -7.492136912116593E+00, -2.906009249903638E+01,  5.363195967138523E-04,  4.951650722969961E+02,  1.484467541396641E+08,  4.337190295560046E-01,
2457820.500000000, A.D. 2017-Mar-08 00:00:00.0000, -1.448923515368971E+08,  3.246282535351606E+07, -2.160272927619517E+02, -6.986214915465109E+00, -2.917531381659868E+01,  3.255816373268772E-04,  4.952907747721612E+02,  1.484844387936706E+08,  4.386721655175843E-01,
2457821.500000000, A.D. 2017-Mar-09 00:00:00.0000, -1.454740663238242E+08,  2.993741213459130E+07, -1.952072897534817E+02, -6.479234677273644E+00, -2.928189725816254E+01,  1.655889706739799E-04,  4.954179535206692E+02,  1.485225660232912E+08,  4.439486241187925E-01,
2457822.500000000, A.D. 2017-Mar-10 00:00:00.0000, -1.460119345077281E+08,  2.740315861224003E+07, -1.857257487121969E+02, -5.971254087343963E+00, -2.937996901029627E+01,  6.405813000931460E-05,  4.955466875993554E+02,  1.485611595291689E+08,  4.494472856710428E-01,
2457823.500000000, A.D. 2017-Mar-11 00:00:00.0000, -1.465058710505174E+08,  2.486079589457725E+07, -1.823488337658346E+02, -5.462301398528563E+00, -2.946962263579328E+01,  2.451359187638502E-05,  4.956770246571759E+02,  1.486002335961014E+08,  4.550527899743487E-01,
2457824.500000000, A.D. 2017-Mar-12 00:00:00.0000, -1.469557925086623E+08,  2.231104862671635E+07, -1.797182599054649E+02, -4.952387433269898E+00, -2.955091362412524E+01,  4.635807335162667E-05,  4.958089781520952E+02,  1.486397922586849E+08,  4.606448124394013E-01,
2457825.500000000, A.D. 2017-Mar-13 00:00:00.0000, -1.473616160933554E+08,  1.975463835544274E+07, -1.726895057512447E+02, -4.441518677889100E+00, -2.962385845204020E+01,  1.253525821027779E-04,  4.959425272743766E+02,  1.486798292783174E+08,  4.661073407496875E-01,
2457826.500000000, A.D. 2017-Mar-14 00:00:00.0000, -1.477232598279091E+08,  1.719228677029071E+07, -1.566130989613011E+02, -3.929709228395772E+00, -2.968843831142491E+01,  2.544329749643026E-04,  4.960776193641966E+02,  1.487203288679809E+08,  4.713364519568566E-01,
2457827.500000000, A.D. 2017-Mar-15 00:00:00.0000, -1.480406436152772E+08,  1.462471845422686E+07, -1.275366156231612E+02, -3.416989640821904E+00, -2.974460646748314E+01,  4.246954016391413E-04,  4.962141741893445E+02,  1.487612669746637E+08,  4.762452748751832E-01,
2457828.500000000, A.D. 2017-Mar-16 00:00:00.0000, -1.483136908931899E+08,  1.205266290957544E+07, -8.232165140192956E+01, -2.903411599892087E+00, -2.979229731710034E+01,  6.263459419475481E-04,  4.963520891685340E+02,  1.488026128452700E+08,  4.807655744598043E-01,
2457829.500000000, A.D. 2017-Mar-17 00:00:00.0000, -1.485423305113992E+08,  9.476855804679381E+06, -1.868663911102340E+01, -2.389048500627307E+00, -2.983143504385607E+01,  8.494453332694718E-04,  4.964912445965391E+02,  1.488443305930756E+08,  4.848463043720721E-01,
2457830.500000000, A.D. 2017-Mar-18 00:00:00.0000, -1.487264985180686E+08,  6.898039550825570E+06,  6.480233461549506E+01, -1.873992992252916E+00, -2.986194026218874E+01,  1.084360838593312E-03,  4.966315081304043E+02,  1.488863805426609E+08,  4.884501241645621E-01,
2457831.500000000, A.D. 2017-Mar-19 00:00:00.0000, -1.488661396561382E+08,  4.316963423928219E+06,  1.687667292689439E+02, -1.358352980084911E+00, -2.988373384451662E+01,  1.321922076412463E-03,  4.967727381254679E+02,  1.489287202300243E+08,  4.915491019361216E-01,
